Stock_Date,Stock_Index_Change,Stock_Percent_Change,Stock_Open,Stock_Highest,Stock_Lowest,Stock_Closed,Stock_AVG,Stock_Adjusted_Closed,Stock_Volume,Stock_Company_Code
17/01/2022,-0.3,-0.91%,33.1,33.65,32.75,32.75,33.02,26.2,16934050,ACB
14/01/2022,-0.3,-0.90%,33.35,33.45,33,33.05,33.2,26.44,3493000,ACB
13/01/2022,0.25,0.76%,33.65,34.25,33.15,33.35,33.64,26.68,7671800,ACB
12/01/2022,0.35,1.07%,32.7,33.55,32.55,33.1,32.78,26.48,9146271,ACB
11/01/2022,-0.25,-0.76%,33,33.05,32.7,32.75,32.87,26.2,8011500,ACB
10/01/2022,-0.3,-0.90%,33,33.4,32.95,33,33.12,26.4,9055100,ACB
07/01/2022,-0.45,-1.33%,33.9,33.95,33.3,33.3,33.58,26.64,9895200,ACB
06/01/2022,0.05,0.15%,33.5,34,33.1,33.75,33.47,27,7482700,ACB
05/01/2022,-0.7,-2.03%,34.35,34.35,33.65,33.7,33.9,26.96,6839700,ACB
04/01/2022,-0.1,-0.29%,34.8,34.8,34.25,34.4,34.43,27.52,5403400,ACB
